 duration: 10.191s, episode steps: 654, episode reward: 120.000
 duration: 104.256s, episode steps: 991, episode reward: 310.000
 duration: 82.280s, episode steps: 819, episode reward: 155.000
 duration: 63.104s, episode steps: 631, episode reward: 135.000
 duration: 78.886s, episode steps: 779, episode reward: 110.000
 duration: 75.069s, episode steps: 750, episode reward: 155.000
 duration: 47.872s, episode steps: 486, episode reward: 65.000
 duration: 66.224s, episode steps: 659, episode reward: 135.000
 duration: 39.083s, episode steps: 389, episode reward: 60.000
 duration: 76.622s, episode steps: 758, episode reward: 155.000
 duration: 50.005s, episode steps: 504, episode reward: 110.000
 duration: 68.533s, episode steps: 680, episode reward: 90.000
 duration: 103.113s, episode steps: 1033, episode reward: 185.000
 duration: 48.698s, episode steps: 491, episode reward: 110.000
 duration: 68.063s, episode steps: 664, episode reward: 110.000
 duration: 78.208s, episode steps: 787, episode reward: 180.000
 duration: 94.891s, episode steps: 958, episode reward: 185.000
 duration: 50.473s, episode steps: 518, episode reward: 90.000
 duration: 119.952s, episode steps: 1215, episode reward: 370.000
 duration: 63.731s, episode steps: 640, episode reward: 120.000
 duration: 81.226s, episode steps: 813, episode reward: 235.000
 duration: 64.002s, episode steps: 638, episode reward: 105.000
 duration: 110.311s, episode steps: 1105, episode reward: 420.000
 duration: 36.704s, episode steps: 368, episode reward: 45.000
 duration: 86.092s, episode steps: 844, episode reward: 155.000
 duration: 58.749s, episode steps: 581, episode reward: 20.000
 duration: 96.091s, episode steps: 945, episode reward: 210.000
 duration: 84.680s, episode steps: 841, episode reward: 195.000
 duration: 49.892s, episode steps: 494, episode reward: 45.000
 duration: 65.464s, episode steps: 640, episode reward: 105.000
 duration: 62.837s, episode steps: 614, episode reward: 135.000
 duration: 96.605s, episode steps: 954, episode reward: 175.000
 duration: 62.982s, episode steps: 634, episode reward: 110.000
 duration: 65.395s, episode steps: 645, episode reward: 105.000
 duration: 65.701s, episode steps: 643, episode reward: 110.000
 duration: 82.898s, episode steps: 817, episode reward: 155.000
 duration: 65.606s, episode steps: 656, episode reward: 105.000
 duration: 98.650s, episode steps: 974, episode reward: 225.000
 duration: 49.128s, episode steps: 490, episode reward: 70.000
 duration: 52.013s, episode steps: 511, episode reward: 135.000
 duration: 64.254s, episode steps: 619, episode reward: 60.000
 duration: 70.799s, episode steps: 695, episode reward: 165.000
 duration: 35.643s, episode steps: 350, episode reward: 15.000
 duration: 77.288s, episode steps: 756, episode reward: 75.000
 duration: 109.453s, episode steps: 1091, episode reward: 320.000
 duration: 99.669s, episode steps: 994, episode reward: 185.000
 duration: 41.013s, episode steps: 408, episode reward: 75.000
 duration: 81.632s, episode steps: 801, episode reward: 410.000
 duration: 40.408s, episode steps: 397, episode reward: 55.000
 duration: 97.501s, episode steps: 965, episode reward: 215.000
 duration: 37.093s, episode steps: 376, episode reward: 60.000
 duration: 58.213s, episode steps: 574, episode reward: 120.000
 duration: 131.723s, episode steps: 1328, episode reward: 405.000
 duration: 42.177s, episode steps: 405, episode reward: 45.000
 duration: 115.462s, episode steps: 1120, episode reward: 270.000
 duration: 84.495s, episode steps: 824, episode reward: 210.000
 duration: 87.718s, episode steps: 875, episode reward: 180.000
 duration: 63.876s, episode steps: 638, episode reward: 110.000
 duration: 80.240s, episode steps: 791, episode reward: 155.000
 duration: 79.178s, episode steps: 788, episode reward: 135.000
 duration: 63.919s, episode steps: 631, episode reward: 110.000
 duration: 53.370s, episode steps: 518, episode reward: 110.000
 duration: 45.757s, episode steps: 441, episode reward: 70.000
 duration: 148.909s, episode steps: 1491, episode reward: 515.000
 duration: 80.754s, episode steps: 805, episode reward: 120.000
 duration: 91.261s, episode steps: 911, episode reward: 160.000
 duration: 82.340s, episode steps: 815, episode reward: 290.000
 duration: 137.931s, episode steps: 1378, episode reward: 470.000
 duration: 82.186s, episode steps: 811, episode reward: 165.000
 duration: 65.899s, episode steps: 649, episode reward: 120.000
 duration: 42.097s, episode steps: 412, episode reward: 70.000
 duration: 82.536s, episode steps: 806, episode reward: 210.000
 duration: 134.110s, episode steps: 1333, episode reward: 490.000
 duration: 40.415s, episode steps: 404, episode reward: 75.000
 duration: 112.152s, episode steps: 1098, episode reward: 150.000
 duration: 59.448s, episode steps: 589, episode reward: 115.000
 duration: 41.966s, episode steps: 411, episode reward: 15.000
 duration: 66.988s, episode steps: 654, episode reward: 105.000
 duration: 82.351s, episode steps: 806, episode reward: 185.000
 duration: 68.631s, episode steps: 681, episode reward: 65.000
 duration: 70.145s, episode steps: 693, episode reward: 225.000
 duration: 38.282s, episode steps: 370, episode reward: 45.000
 duration: 55.212s, episode steps: 537, episode reward: 70.000
 duration: 91.990s, episode steps: 909, episode reward: 180.000
 duration: 68.184s, episode steps: 674, episode reward: 120.000
